city,analysis_type,feature_group,feature,generated_feature,parameter_weeks,n_pairs,pearson_corr,abs_pearson_corr,best_abs_pearson_corr,relative_to_best,city_abs_corr_threshold,selection_cutoff_abs_corr,selection_rank_within_feature,selection_reason
iq,rolling,ndvi,ndvi_nw,ndvi_nw_rolling_14_mean,14,520,0.16104470314736502,0.16104470314736502,0.16104470314736502,1.0,0.15,0.15299246798999677,1,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,lag,ndvi,ndvi_sw,ndvi_sw_lag_11,11,509,0.15533944528750926,0.15533944528750926,0.15533944528750926,1.0,0.15,0.15,1,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,rolling,ndvi,ndvi_sw,ndvi_sw_rolling_14_mean,14,520,0.16243491656597747,0.16243491656597747,0.16243491656597747,1.0,0.15,0.15431317073767858,1,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,rolling,ndvi,ndvi_sw,ndvi_sw_rolling_13_mean,13,520,0.15534573918698116,0.15534573918698116,0.16243491656597747,0.9563568133695144,0.15,0.15431317073767858,2,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,rolling,precipitation,precipitation_amt_mm,precipitation_amt_mm_rolling_7_mean,7,520,0.16137445854170065,0.16137445854170065,0.16137445854170065,1.0,0.15,0.1533057356146156,1,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,rolling,precipitation,precipitation_amt_mm,precipitation_amt_mm_rolling_6_mean,6,520,0.15794083774757237,0.15794083774757237,0.16137445854170065,0.978722650256075,0.15,0.1533057356146156,2,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,lag,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_lag_7,7,513,0.15091731762196117,0.15091731762196117,0.15091731762196117,1.0,0.15,0.15,1,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,rolling,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_rolling_14_mean,14,520,0.19786936025777102,0.19786936025777102,0.19786936025777102,1.0,0.15,0.18797589224488245,1,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,rolling,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_rolling_13_mean,13,520,0.19751727062764216,0.19751727062764216,0.19786936025777102,0.9982205954996257,0.15,0.18797589224488245,2,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,rolling,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_rolling_12_mean,12,520,0.19564543201603513,0.19564543201603513,0.19786936025777102,0.9887606234798622,0.15,0.18797589224488245,3,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,rolling,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_rolling_14_mean,14,520,0.19255826370252366,0.19255826370252366,0.19255826370252366,1.0,0.15,0.18293035051739748,1,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,rolling,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_rolling_13_mean,13,520,0.18981709047764522,0.18981709047764522,0.19255826370252366,0.9857644477459915,0.15,0.18293035051739748,2,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,rolling,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_rolling_12_mean,12,520,0.18569543478481804,0.18569543478481804,0.19255826370252366,0.9643597278779593,0.15,0.18293035051739748,3,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,lag,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k,0,520,0.2291831871266377,0.2291831871266377,0.2291831871266377,1.0,0.15,0.2177240277703058,1,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,lag,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_lag_1,1,519,0.22098060092872282,0.22098060092872282,0.2291831871266377,0.9642094767039675,0.15,0.2177240277703058,2,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,rolling,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_rolling_4_mean,4,520,0.2547988668827405,0.2547988668827405,0.2547988668827405,1.0,0.15,0.24205892353860348,1,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,rolling,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_rolling_3_mean,3,520,0.25273718394333383,0.25273718394333383,0.2547988668827405,0.9919085867035843,0.15,0.24205892353860348,2,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,rolling,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_rolling_6_mean,6,520,0.2483775551692996,0.2483775551692996,0.2547988668827405,0.974798507575797,0.15,0.24205892353860348,3,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,lag,reanalysis,reanalysis_min_air_temp_k,reanalysis_min_air_temp_k,0,520,0.21167882246833372,0.21167882246833372,0.21167882246833372,1.0,0.15,0.20109488134491701,1,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,lag,reanalysis,reanalysis_min_air_temp_k,reanalysis_min_air_temp_k_lag_2,2,518,0.20517266044878557,0.20517266044878557,0.21167882246833372,0.96926399181703,0.15,0.20109488134491701,2,best feature correlation clears city threshold and this candidate is near that feature's best value
